Family,Corrected_Family
Acrididae,Acrididae
Aerididae,Acrididae
Anthicidae,Anthicidae
Aphrophoridae,Aphrophoridae
Armadillidae,Armadillidae
Buprestidae,Buprestidae
Buthidae,Buthidae
Carabidae,Carabidae
Chrysomelidae,Chrysomelidae
Corixidae,Corixidae
Cryptocercidae,Cryptocercidae
Curculionidae,Curculionidae
Cydnidae,Cydnidae
Derodontidae,Derodontidae
Ectobiidae,Ectobiidae
Euzetidae,Euzetidae
Forficulidae,Forficulidae
Formicidae,Formicidae
Gryllidae,Gryllidae
Hyocephalidae,Hyocephalidae
Miridae,Miridae
Mordellidae,Mordellidae
Mutillidae,Mutillidae
Oestricidae,Oestridae
Plataspidae,Plataspidae
Rhapalidae,Rhopalidae
Scarabidae,Scarabaeidae
Scelionidae,Scelionidae
Scolopendridae,Scolopendridae
Sphecidae,Sphecidae
Spirostreptidae,Spirostreptidae
Staphylinidae,Staphylinidae
Synthetonychiidae,Synthetonychiidae 
Tabanidae,Tabanidae
Tenebrionidae,Tenebrionidae
Tetrigidae,Tetrigidae
Tettigonidae,Tettigoniidae
Thyreocoridae,Thyreocoridae
