Location,Site,Sample,Araneae,Blattodea,Coleoptera,Dermaptera,Hemiptera,Hymenoptera,Isopoda,Orthoptera,Spirostreptida,Unknown
Ogua,0%,BT1,0,0,0,0,0,7,0,0,0,0
Ogua,0%,BT2,0,2,4,0,0,1,0,0,0,0
Ogua,0%,BT3,0,0,6,0,0,0,0,0,0,0
Ogua,0%,BT4,0,0,3,0,2,10,0,0,0,0
Ogua,0%,BT5,0,0,0,0,0,9,0,0,0,0
Ogua,0%,BT6,0,0,1,0,0,3,0,0,0,0
Ogua,0%,BT7,0,0,8,0,1,5,0,0,0,0
Ogua,0%,BT8,0,0,2,0,1,2,0,0,0,0
Ogua,0%,BT9,0,0,2,0,0,8,0,0,0,0
Ogua,0%,BT10,0,0,0,0,0,2,0,0,1,0
Ogua,<50%,BT1,0,1,1,0,4,5,0,0,0,0
Ogua,<50%,BT2,0,0,3,0,0,5,0,0,0,0
Ogua,<50%,BT3,0,0,3,0,1,5,0,0,0,0
Ogua,<50%,BT4,0,0,4,0,0,8,0,0,0,0
Ogua,<50%,BT5,3,0,3,0,4,2,0,0,0,0
Ogua,<50%,BT6,0,1,3,0,1,4,0,0,0,0
Ogua,<50%,BT7,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,BT8,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,BT9,0,0,2,0,2,1,0,0,0,0
Ogua,>50%,BT10,0,0,0,0,2,0,0,0,0,0
Ogua,>50%,BT1,1,0,1,0,1,0,0,0,0,0
Ogua,>50%,BT2,0,0,0,0,0,1,0,0,0,0
Ogua,>50%,BT3,0,0,0,0,0,1,0,0,0,0
Ogua,>50%,BT4,0,0,2,0,0,1,0,0,0,0
Ogua,>50%,BT5,0,0,5,0,0,2,0,0,0,0
Ogua,>50%,BT6,1,2,1,0,2,12,0,0,0,0
Ogua,>50%,BT7,2,0,1,0,0,6,0,0,0,0
Ogua,>50%,BT8,1,0,0,0,0,0,0,0,0,0
Ogua,>50%,BT9,3,0,4,0,1,0,0,1,0,0
Ogua,>50%,BT10,0,0,1,0,1,7,0,0,0,0
Igueosagie,0%,BT1,1,1,14,3,1,7,0,4,0,0
Igueosagie,0%,BT2,0,0,0,0,1,0,0,0,0,0
Igueosagie,0%,BT3,0,0,3,2,0,1,0,1,0,1
Igueosagie,0%,BT4,0,0,0,2,1,0,0,0,0,1
Igueosagie,0%,BT5,2,1,1,5,0,1,2,0,0,0
Igueosagie,0%,BT6,0,0,2,0,2,0,1,2,0,3
Igueosagie,0%,BT7,0,0,1,5,0,1,0,0,0,0
Igueosagie,0%,BT8,0,1,0,8,0,2,0,0,0,1
Igueosagie,0%,BT9,0,1,2,5,2,0,0,0,0,0
Igueosagie,0%,BT10,1,0,5,4,1,0,0,0,0,2
Igueosagie,<50%,BT1,2,0,6,3,4,1,0,1,0,2
Igueosagie,<50%,BT2,0,1,2,6,2,1,0,0,0,1
Igueosagie,<50%,BT3,1,1,3,0,3,4,0,0,0,1
Igueosagie,<50%,BT4,2,1,2,7,0,1,0,0,3,0
Igueosagie,<50%,BT5,0,0,2,0,1,0,0,0,3,1
Igueosagie,<50%,BT6,3,0,2,5,0,3,0,1,0,2
Igueosagie,<50%,BT7,2,1,1,3,1,8,0,0,0,3
Igueosagie,<50%,BT8,0,0,4,0,5,2,0,0,0,1
Igueosagie,<50%,BT9,1,0,9,3,1,1,0,0,0,2
Igueosagie,>50%,BT10,1,0,2,0,3,1,0,0,0,1
Igueosagie,>50%,BT1,1,0,1,0,1,0,0,0,0,0
Igueosagie,>50%,BT2,0,0,0,0,0,1,0,0,0,0
Igueosagie,>50%,BT3,0,0,0,0,0,1,0,0,0,0
Igueosagie,>50%,BT4,0,0,2,0,0,1,0,0,0,0
Igueosagie,>50%,BT5,0,0,5,0,0,2,0,0,0,0
Igueosagie,>50%,BT6,1,2,1,0,2,12,0,0,0,0
Igueosagie,>50%,BT7,2,0,1,0,0,6,0,0,0,0
Igueosagie,>50%,BT8,1,0,0,0,0,0,0,0,0,0
Igueosagie,>50%,BT9,3,0,4,0,1,0,0,1,0,0
Igueosagie,>50%,BT10,0,0,1,0,1,7,0,0,0,0
